Indication_ID,Indication_Name
574,Dry eye
575,Dry Irritated eyes
576,Dry mouth
577,Dry skin
578,Dry skin associated with contact dermatitis
579,Dryness and pain associated with reduced or abnormal tear production
580,Duodenal ulcer
581,Duodenitis
582,During infectious diseases and convalescence
583,Dyeing hair
584,Dysentery
585,Dysfunctional uterine bleeding (DUB)
586,Dyskeratosis
587,Dyslipidemia
588,Dysmenorrhoea
589,Dyspareunia
590,Dyspepsia
591,Dysphoria
592,Dysuria
593,Early menstrual regulation
594,Eating disorder
595,Echinococcosis
596,Eclampsia
597,Eczema
598,Eczematoid dermatitis
599,Electrolyte replenisher
600,Electrolytes or calories or as an alkalinizing agent
601,Elevated intraocular pressure
602,Emergency contraception
603,Emotional disturbance
604,Emphysema
605,Empyema
606,Encephalitis virus vaccine
607,Encephalomyelitis
608,Endocarditis
609,Endocrine Disorders
610,End-of-dose motor fluctuations
611,Endometrial carcinoma
612,Endometriosis
613,Endometritis
614,Endometrium cancer
615,Endophthalmitis
616,Endotracheal intubation
617,End-stage renal failure
618,Energy malnutrition
619,Enoxaparin or dalteparin overdosage
620,Ensures good eye sight
621,Enteric fever
622,Enteritis
623,Enterobiasis
624,Enterocolitis
625,Enuresis
626,Envenomation caused by snake bites
627,Epidermal growth factor receptor (EGFR)
628,Epidural
629,Epidural anaesthesia
630,Epidural analgesia
631,Epidural intrathecal anesthesia
632,Epilepsy
633,Episcleritis
634,Erectile dysfunction
635,Erosive oesophagitis
636,Erysipelas
637,Erysipeloid
638,Erythema multiforme
639,Erythema nodosum leprosum (Type 2)
640,Erythrasma
641,Essential hypertension
642,Essential thrombocythemia
643,Essential tremor
644,Excessive sweating
645,Excretory urography
646,Exfoliative dermatitis
647,Extra-articular disorders
648,Extraocular and intraocular irrigating solution during ocular surgical procedure
649,Extrapyramidal symptoms
650,Exudative ARMD
651,Eye allergy
652,Eye health
653,Eye infections
654,Eye irritation
655,Eye refraction
656,Facial paralysis
657,Facilitate endotracheal intubation
658,Facilitate lactation
659,Facilitate mechanical ventilation in intensive care
660,Faecal impaction
661,Falciparum malaria
662,Familial adenomatous polyposis
663,Familial hypercholesterolemia
664,Familial hypophosphatemia
665,Familial mediterranean fever
666,Fat carbohydrate metabolism
667,Fatigue
668,Fatty liver
669,Febrile neutropenia
670,Feebleness
671,Female hypogonadism
672,Female infertility
673,fenestration
674,Fertility
675,Fever
676,Fever blisters
677,Fibromyalgia
678,Filariasis
679,Fitting of hard contact lenses
680,Flaking scalps
681,Flatulence
682,Flu
683,Fluid and electrolyte imbalance
684,Fluid and electrolytes replenisher in hypervolemia
685,Fluid replacement
686,Folic acid & zinc Deficiency
687,Folic acid deficiency
688,Follicular lymphoma
689,Folliculitis
690,Following pancreatic surgery
691,Food supplement
692,For degerming skin in hyperalimentation and catheter care
693,For growing children
694,Fracture and joint manipulation
