PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
155,475,50 ml bottle,48.14,Bottle
156,478,60 ml bottle,25.0,Bottle
157,480,5 ml drop,100.3,Drop
158,481,100 ml bottle,55.0,Bottle
159,483,60 ml bottle,30.2,Bottle
160,485,60 ml bottle,30.0,Bottle
161,490,15 ml bottle,25.08,Bottle
162,491,60 ml bottle,30.1,Bottle
163,502,10 ml bottle,20.0,Bottle
164,506,10 ml bottle,15.0,Bottle
165,517,5 ml drop,400.0,Drop
166,518,5 ml drop,450.0,Drop
167,519,5 ml drop,400.0,Drop
168,522,60 ml bottle,50.0,Bottle
169,524,5 ml drop,100.0,Drop
170,525,5 ml drop,150.08,Drop
171,527,15 ml bottle,125.37,Bottle
172,528,100 ml bottle,190.58,Bottle
173,532,60 ml bottle,20.0,Bottle
174,535,10 ml bottle,15.0,Bottle
175,537,10 ml bottle,15.0,Bottle
176,539,10 ml bottle,15.0,Bottle
177,542,10 ml bottle,15.0,Bottle
178,557,120 metered sprays,401.2,Inhaler
179,558,5 ml drop,100.3,Drop
180,559,5 ml drop,150.44,Drop
181,561,50 ml bottle,48.0,Bottle
182,563,50 ml bottle,48.0,Bottle
183,566,100 ml bottle,21.85,Bottle
184,568,60 ml bottle,16.0,Bottle
185,572,75 ml bottle,25.0,Bottle
186,573,50 ml bottle,80.0,Bottle
187,577,0.4 ml pre-filled syringe,425.0,Pre-filled Syringe
188,578,0.6 ml pre-filled syringe,600.0,Pre-filled Syringe
189,579,0.8 ml pre-filled syringe,725.0,Pre-filled Syringe
190,581,60 ml bottle,26.0,Bottle
191,583,1 ml vial,60.0,Vial
192,587,50 ml bottle,43.18,Bottle
193,592,50 ml bottle,195.0,Bottle
194,594,100 ml bottle,120.0,Bottle
195,601,200 ml bottle,150.0,Bottle
196,605,200 ml bottle,33.0,Bottle
197,606,200 ml bottle,250.0,Bottle
198,608,200 ml bottle,150.0,Bottle
199,609,200 ml bottle,300.0,Bottle
200,610,200 ml bottle,250.0,Bottle
201,612,200 ml bottle,125.0,Bottle
202,613,2 ml ampoule,35.0,Ampoule
203,619,200 ml bottle,150.0,Bottle
204,620,200 ml bottle,250.0,Bottle
205,625,60 gm tube,130.0,Tube
206,638,200 ml bottle,200.0,Bottle
207,642,60 ml bottle,18.0,Bottle
208,643,60 ml bottle,22.0,Bottle
209,644,60 ml bottle,24.0,Bottle
210,648,200 ml bottle,200.0,Bottle
211,650,2 ml ampoule,8.0,Ampoule
212,655,5 ml drop,100.3,Drop
213,656,5 ml drop,150.44,Drop
214,657,60 ml bottle,14.8,Bottle
215,659,100 ml bottle,24.0,Bottle
216,660,100 ml bottle,40.0,Bottle
217,661,5 ml drop,95.36,Drop
218,662,60 ml bottle,25.0,Bottle
219,664,60 ml bottle,120.0,Bottle
220,666,5 ml drop,110.0,Drop
221,667,5 ml drop,180.0,Drop
222,669,100 ml bottle,24.0,Bottle
223,673,200 ml bottle,55.0,Bottle
224,675,10 ml bottle,20.0,Bottle
225,678,10 ml bottle,15.0,Bottle
226,682,100 ml bottle,45.0,Bottle
227,702,5 ml drop,150.0,Drop
228,703,5 ml drop,664.0,Drop
229,721,5 ml drop,400.0,Drop
230,725,40 mg vial,100.3,Vial
231,731,15 ml bottle,15.0,Bottle
232,736,200 ml bottle,80.0,Bottle
233,748,100 ml bottle,16.0,Bottle
234,754,30 ml bottle,130.0,Bottle
235,757,2 ml ampoule,7.48,Ampoule
236,758,100 ml bottle,20.0,Bottle
237,771,100 ml bottle,40.0,Bottle
238,772,15 ml bottle,28.41,Bottle
239,773,100 ml bottle,46.53,Bottle
240,776,100 ml bottle,40.0,Bottle
241,777,15 ml drop,30.09,Drop
242,778,100 ml bottle,40.12,Bottle
243,779,15 ml bottle,25.0,Bottle
244,780,100 ml bottle,40.0,Bottle
245,781,100 ml bottle,30.0,Bottle
246,782,15 ml bottle,30.0,Bottle
247,784,15 ml bottle,20.06,Bottle
248,785,100 ml bottle,30.11,Bottle
249,786,15 ml bottle,20.0,Bottle
250,787,100 ml bottle,40.0,Bottle
251,788,15 ml bottle,35.0,Bottle
252,789,100 ml bottle,45.0,Bottle
253,790,15 ml drop,20.0,Drop
254,791,100 ml bottle,40.0,Bottle
255,792,100 ml bottle,40.0,Bottle
256,795,100 ml bottle,40.0,Bottle
257,796,100 ml bottle,40.0,Bottle
258,797,100 ml bottle,40.0,Bottle
259,798,100 ml bottle,40.0,Bottle
260,799,15 ml bottle,25.08,Bottle
261,800,100 ml bottle,40.12,Bottle
262,801,100 ml bottle,40.0,Bottle
263,802,100 ml bottle,40.0,Bottle
264,804,100 ml bottle,40.0,Bottle
265,805,100 ml bottle,35.0,Bottle
266,806,100 ml bottle,40.13,Bottle
267,807,100 ml bottle,50.0,Bottle
268,808,15 ml bottle,35.0,Bottle
269,809,100 ml bottle,50.0,Bottle
270,811,100 ml bottle,40.0,Bottle
271,813,15 ml bottle,30.0,Bottle
272,814,100 ml bottle,45.0,Bottle
