Manufacturer_ID,Manufacturer_Name
190,Radiant Nutraceuticals Ltd.
191,Radiant Pharmaceuticals Ltd.
192,Rangs Pharmaceuticals Ltd.
193,Reckitt & Benckiser Ltd.
194,Reliance Pharmaceuticals Ltd.
195,Reman Drug Laboratories Ltd.
196,Renata Limited
197,Rephco Pharmaceuticals Ltd.
198,River Pharma
199,RN Pharmaceuticals
200,Roche Bangladesh Ltd.
201,Rotexmedica GmbH; Germany
202,Royal Pharmaceutical Ltd.
203,S.A. Alcon-Couvreur N.V.
204,S.N. Pharmaceutical Ltd.
205,Salton Pharmaceuticals Ltd.
206,SANDOZ (A Novartis Division)
207,Seema Pharmaceuticals Ltd.
208,Serum Institute of India
209,Servier Bangladesh Operation
210,Sharif Pharmaceuticals Ltd.
211,Silco Pharmaceutical Ltd.
212,Silva Pharmaceuticals Ltd.
213,Skylab Pharmaceuticals Ltd.
214,Social Marketing Company
215,Somatec Pharmaceuticals Ltd.
216,Sonear Laboratories Ltd.
217,Square Pharmaceuticals Ltd.
218,Stiefel Laboratories Ltd.
219,Sun Pharmaceutical Ltd.
220,Sunman-Birdem Pharma Ltd.
221,Supreme Pharmaceutical Ltd.
222,Synovia pharma plc
223,Syntho Laboratories Ltd.
224,Team Pharmaceuticals Ltd.
225,Techno Drugs Ltd.
226,The White Horse Pharma
227,Total Natural Company
228,Ultra Pharma Ltd.
229,UniMed UniHealth
230,Unique Pharmaceuticals Ltd.
231,United Pharmaceuticals Ltd.
232,Valneva
233,Veritas Pharmaceuticals Ltd.
234,Vifor International Ltd.
235,Virgo Pharmaceuticals Ltd.
236,West-Coast pharmaceutical works Ltd.
237,Xellia Pharmaceuticals; Denmark
238,ZAS Corporation
239,Zenith Pharmaceuticals Ltd.
240,Ziska Pharmaceuticals Ltd.
